iteration,node1_imbalance,node2_imbalance,node3_imbalance,node4_imbalance,node1_net_flow,node2_net_flow,node3_net_flow,node4_net_flow,power_flow,total_imbalance
1,-604.999603,-395.000397,-800.0,-800.0,-4.9996030000000005,4.9996030000000005,0.0,0.0,4.9996030000000005,2600.0
2,-610.1452179836447,-389.85478201635533,-800.0,-800.0,-5.145614983644713,5.145614983644713,0.0,0.0,5.145614983644713,2600.0
3,-615.4361159635775,-384.5638840364225,-800.0,-800.0,-5.290897979932837,5.290897979932837,0.0,0.0,5.290897979932837,2600.0
4,-620.8713663658879,-379.12863363411213,-800.0,-800.0,-5.435250402310353,5.435250402310353,0.0,0.0,5.435250402310353,2600.0
5,-626.4498401050234,-373.55015989497656,-800.0,-800.0,-5.578473739135559,5.578473739135559,0.0,0.0,5.578473739135559,2600.0
6,-632.170213212917,-367.82978678708304,-800.0,-800.0,-5.720373107893545,5.720373107893545,0.0,0.0,5.720373107893545,2600.0
7,-638.030970992988,-361.969029007012,-800.0,-800.0,-5.86075778007101,5.86075778007101,0.0,0.0,5.86075778007101,2600.0
8,-644.0304126681358,-355.96958733186426,-800.0,-800.0,-5.999441675147741,5.999441675147741,0.0,0.0,5.999441675147741,2600.0
9,-650.1666564905578,-349.83334350944233,-800.0,-800.0,-6.136243822421949,6.136243822421949,0.0,0.0,6.136243822421949,2600.0
10,-656.4376452801998,-343.56235471980034,-800.0,-800.0,-6.2709887896419945,6.2709887896419945,0.0,0.0,6.2709887896419945,2600.0
11,-662.8411523578649,-337.1588476421353,-800.0,-800.0,-6.4035070776650205,6.4035070776650205,0.0,0.0,6.4035070776650205,2600.0
12,-669.374787838467,-330.62521216153317,-800.0,-800.0,-6.533635480602104,6.533635480602104,0.0,0.0,6.533635480602104,2600.0
13,-676.0360052496052,-323.96399475039493,-800.0,-800.0,-6.661217411138235,6.661217411138235,0.0,0.0,6.661217411138235,2600.0
14,-682.822108440538,-317.17789155946207,-800.0,-800.0,-6.786103190932853,6.786103190932853,0.0,0.0,6.786103190932853,2600.0
15,-689.7302587467495,-310.2697412532506,-800.0,-800.0,-6.908150306211471,6.908150306211471,0.0,0.0,6.908150306211471,2600.0
16,-696.7574823756001,-303.2425176243999,-800.0,-800.0,-7.02722362885065,7.02722362885065,0.0,0.0,7.02722362885065,2600.0
17,-703.9006779790367,-296.09932202096337,-800.0,-800.0,-7.143195603436523,7.143195603436523,0.0,0.0,7.143195603436523,2600.0
18,-711.1566243799774,-288.84337562002264,-800.0,-800.0,-7.255946400940729,7.255946400940729,0.0,0.0,7.255946400940729,2600.0
19,-718.5219884197842,-281.4780115802158,-800.0,-800.0,-7.365364039806813,7.365364039806813,0.0,0.0,7.365364039806813,2600.0
20,-725.993332895159,-274.006667104841,-800.0,-800.0,-7.471344475374857,7.471344475374857,0.0,0.0,7.471344475374857,2600.0
21,-733.5671245538512,-266.43287544614884,-800.0,-800.0,-7.573791658692128,7.573791658692128,0.0,0.0,7.573791658692128,2600.0
22,-741.2397421197144,-258.7602578802856,-800.0,-800.0,-7.672617565863246,7.672617565863246,0.0,0.0,7.672617565863246,2600.0
23,-749.0074843188993,-250.9925156811007,-800.0,-800.0,-7.7677421991848945,7.7677421991848945,0.0,0.0,7.7677421991848945,2600.0
24,-756.8665778802872,-243.1334221197128,-800.0,-800.0,-7.859093561387909,7.859093561387909,0.0,0.0,7.859093561387909,2600.0
25,-764.8131854846612,-235.18681451533882,-800.0,-800.0,-7.946607604373978,7.946607604373978,0.0,0.0,7.946607604373978,2600.0
26,-772.8434136385471,-227.15658636145292,-800.0,-800.0,-8.03022815388589,8.03022815388589,0.0,0.0,8.03022815388589,2600.0
27,-780.9533204501367,-219.04667954986323,-800.0,-800.0,-8.109906811589699,8.109906811589699,0.0,0.0,8.109906811589699,2600.0
28,-789.1389232862118,-210.86107671378815,-800.0,-800.0,-8.185602836075065,8.185602836075065,0.0,0.0,8.185602836075065,2600.0
29,-797.3962062905089,-202.60379370949113,-800.0,-800.0,-8.257283004297008,8.257283004297008,0.0,0.0,8.257283004297008,2600.0
30,-805.721127745498,-194.27887225450195,-800.0,-800.0,-8.324921454989168,8.324921454989168,0.0,0.0,8.324921454989168,2600.0
31,-814.109627261074,-185.89037273892592,-800.0,-800.0,-8.388499515576026,8.388499515576026,0.0,0.0,8.388499515576026,2600.0
32,-822.5576327751743,-177.44236722482566,-800.0,-800.0,-8.448005514100249,8.448005514100249,0.0,0.0,8.448005514100249,2600.0
33,-831.0610673528363,-168.93893264716363,-800.0,-800.0,-8.503434577662022,8.503434577662022,0.0,0.0,8.503434577662022,2600.0
34,-839.615855771677,-160.38414422832284,-800.0,-800.0,-8.554788418840783,8.554788418840783,0.0,0.0,8.554788418840783,2600.0
35,-848.217930883214,-151.78206911678595,-800.0,-800.0,-8.602075111536903,8.602075111536903,0.0,0.0,8.602075111536903,2600.0
36,-856.8632397408461,-143.13676025915387,-800.0,-800.0,-8.64530885763208,8.64530885763208,0.0,0.0,8.64530885763208,2600.0
37,-865.5477494866697,-134.45225051333026,-800.0,-800.0,-8.684509745823611,8.684509745823611,0.0,0.0,8.684509745823611,2600.0
38,-874.2674529906093,-125.73254700939063,-800.0,-800.0,-8.719703503939632,8.719703503939632,0.0,0.0,8.719703503939632,2600.0
39,-883.0183742365999,-116.98162576340003,-800.0,-800.0,-8.750921245990602,8.750921245990602,0.0,0.0,8.750921245990602,2600.0
40,-891.7965734517575,-108.20342654824248,-800.0,-800.0,-8.778199215157553,8.778199215157553,0.0,0.0,8.778199215157553,2600.0
41,-900.5981519756177,-99.40184802438225,-800.0,-800.0,-8.801578523860236,8.801578523860236,0.0,0.0,8.801578523860236,2600.0
42,-909.4192568676068,-90.58074313239315,-800.0,-800.0,-8.821104891989094,8.821104891989094,0.0,0.0,8.821104891989094,2600.0
43,-918.256085251931,-81.74391474806887,-800.0,-800.0,-8.836828384324283,8.836828384324283,0.0,0.0,8.836828384324283,2600.0
44,-927.1048884000345,-72.89511159996545,-800.0,-800.0,-8.848803148103421,8.848803148103421,0.0,0.0,8.848803148103421,2600.0
45,-935.9619755516721,-64.03802444832783,-800.0,-800.0,-8.85708715163762,8.85708715163762,0.0,0.0,8.85708715163762,2600.0
46,-944.8237174764854,-55.17628252351457,-800.0,-800.0,-8.86174192481326,8.86174192481326,0.0,0.0,8.86174192481326,2600.0
47,-953.6865497787405,-46.3134502212594,-800.0,-800.0,-8.86283230225517,8.86283230225517,0.0,0.0,8.86283230225517,2600.0
48,-962.5469759486061,-37.45302405139377,-800.0,-800.0,-8.860426169865631,8.860426169865631,0.0,0.0,8.860426169865631,2600.0
49,-971.4015701639996,-28.59842983600032,-800.0,-800.0,-8.854594215393446,8.854594215393446,0.0,0.0,8.854594215393446,2600.0
50,-980.2469798476279,-19.75302015237198,-800.0,-800.0,-8.845409683628338,8.845409683628338,0.0,0.0,8.845409683628338,2600.0
